Technology Area,Number of Awards,Total Funding,Avg Funding per Award
"Advanced Materials, Advanced Computing and Semiconductors, Disaster Prevention and Mitigation",1,750000.0,750000.0
"Advanced Materials, Advanced Computing and Semiconductors, Advanced Energy and Industrial Efficiency Technologies",1,750000.0,750000.0
"Disaster Prevention and Mitigation, Advanced Computing and Semiconductors, Artificial Intelligence",1,749995.0,749995.0
"Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence",1,749954.8,749954.8
"Data and Cybersecurity, Artificial Intelligence, Disaster Prevention and Mitigation, Advanced Computing and Semiconductors",1,749548.0,749548.0
"Advanced Materials, Biotechnology, Disaster Prevention and Mitigation, Robotics and Advanced Manufacturing",1,745000.0,745000.0
"Advanced Materials, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Advanced Energy and Industrial Efficiency Technologies",1,744893.0,744893.0
"Data and Cybersecurity, Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology",1,722573.0,722573.0
"Exploratory Activities, Disaster Prevention and Mitigation",5,719143.0,143828.6
"Data and Cybersecurity, Advanced Materials, Disaster Prevention and Mitigation, Artificial Intelligence",1,716823.0,716823.0
"Artificial Intelligence, Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation",4,699836.0,174959.0
"Robotics and Advanced Manufacturing, Disaster Prevention and Mitigation, Artificial Intelligence, Biotechnology",1,650000.0,650000.0
"Disaster Prevention and Mitigation, Data and Cybersecurity, Advanced Computing and Semiconductors, Artificial Intelligence",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Biotechnology, Artificial Intelligence, Disaster Prevention and Mitigation, Advanced Materials",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Advanced Energy and Industrial Efficiency Technologies, Advanced Materials, Artificial Intelligence, Disaster Prevention and Mitigation, Biotechnology, Advanced Computing and Semiconductors",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Artificial Intelligence, Advanced Materials, Biotechnology, Disaster Prevention and Mitigation",1,650000.0,650000.0
"Robotics and Advanced Manufacturing, Biotechnology, Advanced Materials, Artificial Intelligence, Disaster Prevention and Mitigation",1,650000.0,650000.0
